MUN_NAME,MUN_NAME_data_orig,MUN_CODE,UF_ABBREV,Modulo_fiscal_ha
Alta Floresta D'Oeste,Alta Floresta D'oeste,1100015,RO,NA
Ariquemes,Ariquemes,1100023,RO,60
Cabixi,Cabixi,1100031,RO,60
Cacoal,Cacoal,1100049,RO,60
Cerejeiras,Cerejeiras,1100056,RO,60
Colorado do Oeste,Colorado do Oeste,1100064,RO,60
Corumbiara,Corumbiara,1100072,RO,60
Costa Marques,Costa Marques,1100080,RO,60
Espigão D'Oeste,Espigão D'oeste,1100098,RO,NA
Guajará-Mirim,Guajará-Mirim,1100106,RO,60
Jaru,Jaru,1100114,RO,60
Ji-Paraná,Ji-Paraná,1100122,RO,60
Machadinho D'Oeste,Machadinho D'oeste,1100130,RO,NA
Nova Brasilândia D'Oeste,Nova Brasilândia D'oeste,1100148,RO,NA
Ouro Preto do Oeste,Ouro Preto do Oeste,1100155,RO,60
Pimenta Bueno,Pimenta Bueno,1100189,RO,60
Porto Velho,Porto Velho,1100205,RO,60
Presidente Médici,Presidente Médici,1100254,RO,60
Rio Crespo,Rio Crespo,1100262,RO,60
Rolim de Moura,Rolim de Moura,1100288,RO,60
Santa Luzia D'Oeste,Santa Luzia D'oeste,1100296,RO,NA
Vilhena,Vilhena,1100304,RO,60
São Miguel do Guaporé,São Miguel do Guaporé,1100320,RO,60
Nova Mamoré,Nova Mamoré,1100338,RO,60
Alvorada D'Oeste,Alvorada D'oeste,1100346,RO,NA
Alto Alegre dos Parecis,Alto Alegre do Parecis,1100379,RO,NA
Alto Paraíso,Alto Paraíso,1100403,RO,60
Buritis,Buritis,1100452,RO,60
Novo Horizonte do Oeste,Novo Horizonte do Ooeste,1100502,RO,NA
Cacaulândia,Cacaulândia,1100601,RO,60
Campo Novo de Rondônia,Campo Novo de Rondânia,1100700,RO,NA
Candeias do Jamari,Candeias do Jamari,1100809,RO,60
Castanheiras,Castanheiras,1100908,RO,60
Chupinguaia,Chupinguaia,1100924,RO,60
Cujubim,Cujubim,1100940,RO,60
Governador Jorge Teixeira,Governador Jorge Teixeira,1101005,RO,60
Itapuã do Oeste,Itapuã do Oeste,1101104,RO,60
Ministro Andreazza,Ministro Andreazza,1101203,RO,60
Mirante da Serra,Mirante da Serra,1101302,RO,60
Monte Negro,Monte Negro,1101401,RO,60
Nova União,Nova União,1101435,RO,60
Parecis,Parecis,1101450,RO,60
Pimenteiras do Oeste,Pimenteiras do Oeste,1101468,RO,60
Primavera de Rondônia,Primavera de Rondânia,1101476,RO,NA
São Felipe D'Oeste,São Felipe D'oeste,1101484,RO,NA
São Francisco do Guaporé,São Francisco do Guaporé,1101492,RO,60
Seringueiras,Seringueiras,1101500,RO,60
Teixeirópolis,Teixeirópolis,1101559,RO,60
Theobroma,Theobroma,1101609,RO,60
Urupá,Urupá,1101708,RO,60
Vale do Anari,Vale do Anari,1101757,RO,60
Vale do Paraíso,Vale do Paraíso,1101807,RO,60
Acrelândia,Acrelândia,1200013,AC,100
Assis Brasil,Assis Brasil,1200054,AC,100
Brasiléia,Brasiléia,1200104,AC,100
Bujari,Bujari,1200138,AC,70
Capixaba,Capixaba,1200179,AC,70
Cruzeiro do Sul,Cruzeiro do Sul,1200203,AC,100
Epitaciolândia,Epitaciolândia,1200252,AC,100
Feijó,Feijó,1200302,AC,100
Jordão,Jordão,1200328,AC,100
Mâncio Lima,Mâncio Lima,1200336,AC,100
Manoel Urbano,Manoel Urbano,1200344,AC,100
Marechal Thaumaturgo,Marechal Thaumaturgo,1200351,AC,100
Plácido de Castro,Plácido de Castro,1200385,AC,100
Porto Walter,Porto Walter,1200393,AC,100
Rio Branco,Rio Branco,1200401,AC,70
Rodrigues Alves,Rodrigues Alves,1200427,AC,100
Santa Rosa do Purus,Santa Rosa do Purus,1200435,AC,100
Senador Guiomard,Senador Guiomard,1200450,AC,100
Sena Madureira,Sena Madureira,1200500,AC,100
Tarauacá,Tarauacá,1200609,AC,100
Xapuri,Xapuri,1200708,AC,100
Porto Acre,Porto Acre,1200807,AC,70
Alvarães,Alvarães,1300029,AM,100
Amaturá,Amaturá,1300060,AM,100
Anamã,Anamã,1300086,AM,100
Anori,Anori,1300102,AM,100
Apuí,Apuí,1300144,AM,100
Atalaia do Norte,Atalaia do Norte,1300201,AM,100
Autazes,Autazes,1300300,AM,80
Barcelos,Barcelos,1300409,AM,100
Barreirinha,Barreirinha,1300508,AM,80
Benjamin Constant,Benjamin Constant,1300607,AM,100
Beruri,Beruri,1300631,AM,80
Boa Vista do Ramos,Boa Vista do Ramos,1300680,AM,80
Boca do Acre,Boca do Acre,1300706,AM,100
Borba,Borba,1300805,AM,100
Caapiranga,Caapiranga,1300839,AM,80
Canutama,Canutama,1300904,AM,100
Carauari,Carauari,1301001,AM,100
Careiro,Careiro,1301100,AM,80
Careiro da Várzea,Careiro da Várzea,1301159,AM,80
Coari,Coari,1301209,AM,100
Codajás,Codajás,1301308,AM,100
Eirunepé,Eirunepé,1301407,AM,100
Envira,Envira,1301506,AM,100
Fonte Boa,Fonte Boa,1301605,AM,100
Guajará,Guajará,1301654,AM,100
Humaitá,Humaitá,1301704,AM,100
Ipixuna,Ipixuna,1301803,AM,100
Iranduba,Iranduba,1301852,AM,80
Itacoatiara,Itacoatiara,1301902,AM,80
Itamarati,Itamarati,1301951,AM,100
Itapiranga,Itapiranga,1302009,AM,80
Japurá,Japurá,1302108,AM,100
Juruá,Juruá,1302207,AM,100
Jutaí,Jutaí,1302306,AM,100
Lábrea,Lábrea,1302405,AM,100
Manacapuru,Manacapuru,1302504,AM,80
Manaquiri,Manaquiri,1302553,AM,80
Manaus,Manaus,1302603,AM,10
Manicoré,Manicoré,1302702,AM,100
Maraã,Maraã,1302801,AM,100
Maués,Maués,1302900,AM,80
Nhamundá,Nhamundá,1303007,AM,80
Nova Olinda do Norte,Nova Olinda do Norte,1303106,AM,80
Novo Airão,Novo Airão,1303205,AM,100
Novo Aripuanã,Novo Aripuanã,1303304,AM,100
Parintins,Parintins,1303403,AM,80
Pauini,Pauini,1303502,AM,100
Presidente Figueiredo,Presidente Figueiredo,1303536,AM,80
Rio Preto da Eva,Rio Preto da Eva,1303569,AM,80
Santa Isabel do Rio Negro,Santa Isabel do Rio Negro,1303601,AM,100
Santo Antônio do Içá,Santo Antânio do Içá,1303700,AM,NA
São Gabriel da Cachoeira,São Gabriel da Cachoeira,1303809,AM,100
São Paulo de Olivença,São Paulo de Olivença,1303908,AM,100
São Sebastião do Uatumã,São Sebastião do Uatumã,1303957,AM,80
Silves,Silves,1304005,AM,80
Tabatinga,Tabatinga,1304062,AM,100
Tapauá,Tapauá,1304104,AM,100
Tefé,Tefé,1304203,AM,100
Tonantins,Tonantins,1304237,AM,100
Uarini,Uarini,1304260,AM,100
Urucará,Urucará,1304302,AM,80
Urucurituba,Urucurituba,1304401,AM,80
Amajari,Amajari,1400027,RR,80
Alto Alegre,Alto Alegre,1400050,RR,80
Boa Vista,Boa Vista,1400100,RR,80
Bonfim,Bonfim,1400159,RR,80
Cantá,Cantá,1400175,RR,80
Caracaraí,Caracaraí,1400209,RR,100
Caroebe,Caroebe,1400233,RR,100
Iracema,Iracema,1400282,RR,100
Mucajaí,Mucajaí,1400308,RR,100
Normandia,Normandia,1400407,RR,80
Pacaraima,Pacaraima,1400456,RR,80
Rorainópolis,Rorainópolis,1400472,RR,100
São João da Baliza,São João da Baliza,1400506,RR,100
São Luiz,São Luiz,1400605,RR,100
Uiramutã,Uiramutã,1400704,RR,80
Abaetetuba,Abaetetuba,1500107,PA,70
Abel Figueiredo,Abel Figueiredo,1500131,PA,70
Acará,Acará,1500206,PA,50
Afuá,Afuá,1500305,PA,70
Água Azul do Norte,Água Azul do Norte,1500347,PA,70
Alenquer,Alenquer,1500404,PA,75
Almeirim,Almeirim,1500503,PA,70
Altamira,Altamira,1500602,PA,75
Anajás,Anajás,1500701,PA,70
Ananindeua,Ananindeua,1500800,PA,7
Anapu,Anapu,1500859,PA,70
Augusto Corrêa,Augusto Corrêa,1500909,PA,55
Aurora do Pará,Aurora do Pará,1500958,PA,55
Aveiro,Aveiro,1501006,PA,75
Bagre,Bagre,1501105,PA,70
Baião,Baião,1501204,PA,70
Bannach,Bannach,1501253,PA,75
Barcarena,Barcarena,1501303,PA,70
Belém,Belém,1501402,PA,5
Belterra,Belterra,1501451,PA,75
Benevides,Benevides,1501501,PA,7
Bom Jesus do Tocantins,Bom Jesus do Tocantins,1501576,PA,70
Bonito,Bonito,1501600,PA,55
Bragança,Bragança,1501709,PA,55
Brasil Novo,Brasil Novo,1501725,PA,75
Brejo Grande do Araguaia,Brejo Grande do Araguaia,1501758,PA,70
Breu Branco,Breu Branco,1501782,PA,70
Breves,Breves,1501808,PA,70
Bujaru,Bujaru,1501907,PA,55
Cachoeira do Piriá,Cachoeira do Piriá,1501956,PA,75
Cachoeira do Arari,Cachoeira do Arari,1502004,PA,65
Cametá,Cametá,1502103,PA,70
Canaã dos Carajás,Canaã dos Carajás,1502152,PA,70
Capanema,Capanema,1502202,PA,55
Capitão Poço,Capitão Poço,1502301,PA,55
Castanhal,Castanhal,1502400,PA,55
Chaves,Chaves,1502509,PA,65
Colares,Colares,1502608,PA,55
Conceição do Araguaia,Conceição do Araguaia,1502707,PA,75
Concórdia do Pará,Concórdia do Pará,1502756,PA,55
Cumaru do Norte,Cumaru do Norte,1502764,PA,75
Curionópolis,Curionópolis,1502772,PA,70
Curralinho,Curralinho,1502806,PA,70
Curuá,Curuá,1502855,PA,75
Curuçá,Curuçá,1502905,PA,55
Dom Eliseu,Dom Eliseu,1502939,PA,55
Eldorado do Carajás,Eldorado do Carajás,1502954,PA,70
Faro,Faro,1503002,PA,75
Floresta do Araguaia,Floresta do Araguaia,1503044,PA,75
Garrafão do Norte,Garrafão do Norte,1503077,PA,55
Goianésia do Pará,Goianésia do Pará,1503093,PA,55
Gurupá,Gurupá,1503101,PA,70
Igarapé-Açu,Igarapé-Açu,1503200,PA,55
Igarapé-Miri,Igarapé-Miri,1503309,PA,70
Inhangapi,Inhangapi,1503408,PA,55
Ipixuna do Pará,Ipixuna do Pará,1503457,PA,55
Irituia,Irituia,1503507,PA,55
Itaituba,Itaituba,1503606,PA,75
Itupiranga,Itupiranga,1503705,PA,70
Jacareacanga,Jacareacanga,1503754,PA,75
Jacundá,Jacundá,1503804,PA,70
Juruti,Juruti,1503903,PA,75
Limoeiro do Ajuru,Limoeiro do Ajuru,1504000,PA,70
Mãe do Rio,Mãe do Rio,1504059,PA,55
Magalhães Barata,Magalhães Barata,1504109,PA,55
Marabá,Marabá,1504208,PA,70
Maracanã,Maracanã,1504307,PA,55
Marapanim,Marapanim,1504406,PA,55
Marituba,Marituba,1504422,PA,7
Medicilândia,Medicilândia,1504455,PA,70
Melgaço,Melgaço,1504505,PA,70
Mocajuba,Mocajuba,1504604,PA,70
Moju,Moju,1504703,PA,70
Monte Alegre,Monte Alegre,1504802,PA,75
Muaná,Muaná,1504901,PA,65
Nova Esperança do Piriá,Nova Esperança do Piriá,1504950,PA,75
Nova Ipixuna,Nova Ipixuna,1504976,PA,70
Nova Timboteua,Nova Timboteua,1505007,PA,55
Novo Progresso,Novo Progresso,1505031,PA,75
Novo Repartimento,Novo Repartimento,1505064,PA,70
Óbidos,Ëbidos,1505106,PA,NA
Oeiras do Pará,Oeiras do Pará,1505205,PA,70
Oriximiná,Oriximiná,1505304,PA,75
Ourém,Ourém,1505403,PA,55
Ourilândia do Norte,Ourilândia do Norte,1505437,PA,75
Pacajá,Pacajá,1505486,PA,70
Palestina do Pará,Palestina do Pará,1505494,PA,70
Paragominas,Paragominas,1505502,PA,55
Parauapebas,Parauapebas,1505536,PA,70
Pau D'Arco,Pau D'arco,1505551,PA,NA
Peixe-Boi,Peixe-Boi,1505601,PA,55
Piçarra,Piçarra,1505635,PA,75
Placas,Placas,1505650,PA,75
Ponta de Pedras,Ponta de Pedras,1505700,PA,65
Portel,Portel,1505809,PA,70
Porto de Moz,Porto de Moz,1505908,PA,70
Prainha,Prainha,1506005,PA,70
Primavera,Primavera,1506104,PA,55
Quatipuru,Quatipuru,1506112,PA,55
Redenção,Redenção,1506138,PA,75
Rio Maria,Rio Maria,1506161,PA,75
Rondon do Pará,Rondon do Pará,1506187,PA,55
Rurópolis,Rurópolis,1506195,PA,75
Salinópolis,Salinópolis,1506203,PA,55
Salvaterra,Salvaterra,1506302,PA,65
Santa Bárbara do Pará,Santa Bárbara do Pará,1506351,PA,7
Santa Cruz do Arari,Santa Cruz do Arari,1506401,PA,65
Santa Izabel do Pará,Santa Isabel do Pará,1506500,PA,NA
Santa Luzia do Pará,Santa Luzia do Pará,1506559,PA,75
Santa Maria das Barreiras,Santa Maria das Barreiras,1506583,PA,75
Santa Maria do Pará,Santa Maria do Pará,1506609,PA,55
Santana do Araguaia,Santana do Araguaia,1506708,PA,75
Santarém,Santarém,1506807,PA,75
Santarém Novo,Santarém Novo,1506906,PA,55
Santo Antônio do Tauá,Santo Antânio do Tauá,1507003,PA,NA
São Caetano de Odivelas,São Caetano de Odivelas,1507102,PA,55
São Domingos do Araguaia,São Domingos do Araguaia,1507151,PA,70
São Domingos do Capim,São Domingos do Capim,1507201,PA,55
São Félix do Xingu,São Félix do Xingu,1507300,PA,75
São Francisco do Pará,São Francisco do Pará,1507409,PA,55
São Geraldo do Araguaia,São Geraldo do Araguaia,1507458,PA,75
São João da Ponta,São João da Ponta,1507466,PA,55
São João de Pirabas,São João de Pirabas,1507474,PA,55
São João do Araguaia,São João do Araguaia,1507508,PA,70
São Miguel do Guamá,São Miguel do Guamá,1507607,PA,55
São Sebastião da Boa Vista,São Sebastião da Boa Vista,1507706,PA,70
Sapucaia,Sapucaia,1507755,PA,75
Senador José Porfírio,Senador José Porfírio,1507805,PA,70
Soure,Soure,1507904,PA,65
Tailândia,Tailândia,1507953,PA,50
Terra Alta,Terra Alta,1507961,PA,55
Terra Santa,Terra Santa,1507979,PA,75
Tomé-Açu,Tomé-Açu,1508001,PA,50
Tracuateua,Tracuateua,1508035,PA,55
Trairão,Trairão,1508050,PA,75
Tucumã,Tucumã,1508084,PA,75
Tucuruí,Tucuruí,1508100,PA,70
Ulianópolis,Ulianópolis,1508126,PA,55
Uruará,Uruará,1508159,PA,70
Vigia,Vigia,1508209,PA,55
Viseu,Viseu,1508308,PA,75
Vitória do Xingu,Vitória do Xingu,1508357,PA,75
Xinguara,Xinguara,1508407,PA,75
Serra do Navio,Serra do Navio,1600055,AP,50
Amapá,Amapá,1600105,AP,70
Pedra Branca do Amapari,Pedra Branca do Amapari,1600154,AP,50
Calçoene,Calçoene,1600204,AP,70
Cutias,Cutias,1600212,AP,50
Ferreira Gomes,Ferreira Gomes,1600238,AP,50
Itaubal,Itaubal,1600253,AP,50
Laranjal do Jari,Laranjal do Jari,1600279,AP,70
Macapá,Macapá,1600303,AP,50
Mazagão,Mazagão,1600402,AP,70
Oiapoque,Oiapoque,1600501,AP,70
Porto Grande,Porto Grande,1600535,AP,50
Pracuúba,Pracuúba,1600550,AP,70
Santana,Santana,1600600,AP,50
Tartarugalzinho,Tartarugalzinho,1600709,AP,70
Vitória do Jari,Vitória do Jari,1600808,AP,70
Abreulândia,Abreulândia,1700251,TO,80
Aguiarnópolis,Aguiarnópolis,1700301,TO,80
Aliança do Tocantins,Aliança do Tocantins,1700350,TO,80
Almas,Almas,1700400,TO,80
Alvorada,Alvorada,1700707,TO,80
Ananás,Ananás,1701002,TO,80
Angico,Angico,1701051,TO,80
Aparecida do Rio Negro,Aparecida do Rio Negro,1701101,TO,80
Aragominas,Aragominas,1701309,TO,80
Araguacema,Araguacema,1701903,TO,80
Araguaçu,Araguaçu,1702000,TO,70
Araguaína,Araguaína,1702109,TO,80
Araguanã,Araguanã,1702158,TO,80
Araguatins,Araguatins,1702208,TO,80
Arapoema,Arapoema,1702307,TO,80
Arraias,Arraias,1702406,TO,80
Augustinópolis,Augustinópolis,1702554,TO,80
Aurora do Tocantins,Aurora do Tocantins,1702703,TO,80
Axixá do Tocantins,Axixá do Tocantins,1702901,TO,80
Babaçulândia,Babaçulândia,1703008,TO,80
Bandeirantes do Tocantins,Bandeirantes do Tocantins,1703057,TO,80
Barra do Ouro,Barra do Ouro,1703073,TO,80
Barrolândia,Barrolândia,1703107,TO,80
Bernardo Sayão,Bernardo Sayão,1703206,TO,80
Bom Jesus do Tocantins,Bom Jesus do Tocantins,1703305,TO,80
Brasilândia do Tocantins,Brasilândia do Tocantins,1703602,TO,80
Brejinho de Nazaré,Brejinho de Nazaré,1703701,TO,80
Buriti do Tocantins,Buriti do Tocantins,1703800,TO,80
Cachoeirinha,Cachoeirinha,1703826,TO,80
Campos Lindos,Campos Lindos,1703842,TO,80
Cariri do Tocantins,Cariri do Tocantins,1703867,TO,80
Carmolândia,Carmolândia,1703883,TO,80
Carrasco Bonito,Carrasco Bonito,1703891,TO,80
Caseara,Caseara,1703909,TO,80
Centenário,Centenário,1704105,TO,80
Chapada de Areia,Chapada de Areia,1704600,TO,80
Chapada da Natividade,Chapada da Natividade,1705102,TO,80
Colinas do Tocantins,Colinas do Tocantins,1705508,TO,80
Combinado,Combinado,1705557,TO,80
Conceição do Tocantins,Conceição do Tocantins,1705607,TO,80
Couto Magalhães,Couto Magalhães,1706001,TO,80
Cristalândia,Cristalândia,1706100,TO,80
Crixás do Tocantins,Crixás do Tocantins,1706258,TO,80
Darcinópolis,Darcinópolis,1706506,TO,80
Dianópolis,Dianópolis,1707009,TO,80
Divinópolis do Tocantins,Divinópolis do Tocantins,1707108,TO,80
Dois Irmãos do Tocantins,Dois Irmãos do Tocantins,1707207,TO,80
Dueré,Dueré,1707306,TO,80
Esperantina,Esperantina,1707405,TO,80
Fátima,Fátima,1707553,TO,80
Figueirópolis,Figueirópolis,1707652,TO,80
Filadélfia,Filadélfia,1707702,TO,80
Formoso do Araguaia,Formoso do Araguaia,1708205,TO,80
Tabocão,Fortaleza do Tabocão,1708254,TO,NA
Goianorte,Goianorte,1708304,TO,80
Goiatins,Goiatins,1709005,TO,80
Guaraí,Guaraí,1709302,TO,80
Gurupi,Gurupi,1709500,TO,80
Ipueiras,Ipueiras,1709807,TO,80
Itacajá,Itacajá,1710508,TO,80
Itaguatins,Itaguatins,1710706,TO,80
Itapiratins,Itapiratins,1710904,TO,80
Itaporã do Tocantins,Itaporã do Tocantins,1711100,TO,80
Jaú do Tocantins,Jaú do Tocantins,1711506,TO,80
Juarina,Juarina,1711803,TO,80
Lagoa da Confusão,Lagoa da Confusão,1711902,TO,80
Lagoa do Tocantins,Lagoa do Tocantins,1711951,TO,80
Lajeado,Lajeado,1712009,TO,80
Lavandeira,Lavandeira,1712157,TO,80
Lizarda,Lizarda,1712405,TO,80
Luzinópolis,Luzinópolis,1712454,TO,80
Marianópolis do Tocantins,Marianópolis do Tocantins,1712504,TO,80
Mateiros,Mateiros,1712702,TO,80
Maurilândia do Tocantins,Maurilândia do Tocantins,1712801,TO,80
Miracema do Tocantins,Miracema do Tocantins,1713205,TO,80
Miranorte,Miranorte,1713304,TO,80
Monte do Carmo,Monte do Carmo,1713601,TO,80
Monte Santo do Tocantins,Monte Santo do Tocantins,1713700,TO,80
Palmeiras do Tocantins,Palmeiras do Tocantins,1713809,TO,80
Muricilândia,Muricilândia,1713957,TO,80
Natividade,Natividade,1714203,TO,80
Nazaré,Nazaré,1714302,TO,80
Nova Olinda,Nova Olinda,1714880,TO,80
Nova Rosalândia,Nova Rosalândia,1715002,TO,80
Novo Acordo,Novo Acordo,1715101,TO,80
Novo Alegre,Novo Alegre,1715150,TO,80
Novo Jardim,Novo Jardim,1715259,TO,80
Oliveira de Fátima,Oliveira de Fátima,1715507,TO,80
Palmeirante,Palmeirante,1715705,TO,80
Palmeirópolis,Palmeirópolis,1715754,TO,80
Paraíso do Tocantins,Paraíso do Tocantins,1716109,TO,80
Paranã,Paranã,1716208,TO,80
Pau D'Arco,Pau D'arco,1716307,TO,NA
Pedro Afonso,Pedro Afonso,1716505,TO,80
Peixe,Peixe,1716604,TO,80
Pequizeiro,Pequizeiro,1716653,TO,80
Colméia,Colméia,1716703,TO,80
Pindorama do Tocantins,Pindorama do Tocantins,1717008,TO,80
Piraquê,Piraquê,1717206,TO,80
Pium,Pium,1717503,TO,80
Ponte Alta do Bom Jesus,Ponte Alta do Bom Jesus,1717800,TO,80
Ponte Alta do Tocantins,Ponte Alta do Tocantins,1717909,TO,80
Porto Alegre do Tocantins,Porto Alegre do Tocantins,1718006,TO,80
Porto Nacional,Porto Nacional,1718204,TO,80
Praia Norte,Praia Norte,1718303,TO,80
Presidente Kennedy,Presidente Kennedy,1718402,TO,80
Pugmil,Pugmil,1718451,TO,80
Recursolândia,Recursolândia,1718501,TO,80
Riachinho,Riachinho,1718550,TO,80
Rio da Conceição,Rio da Conceição,1718659,TO,80
Rio dos Bois,Rio dos Bois,1718709,TO,80
Rio Sono,Rio Sono,1718758,TO,80
Sampaio,Sampaio,1718808,TO,80
Sandolândia,Sandolândia,1718840,TO,70
Santa Fé do Araguaia,Santa Fé do Araguaia,1718865,TO,80
Santa Maria do Tocantins,Santa Maria do Tocantins,1718881,TO,80
Santa Rita do Tocantins,Santa Rita do Tocantins,1718899,TO,80
Santa Rosa do Tocantins,Santa Rosa do Tocantins,1718907,TO,80
Santa Tereza do Tocantins,Santa Tereza do Tocantins,1719004,TO,80
Santa Terezinha do Tocantins,Santa Terezinha do Tocantins,1720002,TO,80
São Bento do Tocantins,São Bento do Tocantins,1720101,TO,80
São Félix do Tocantins,São Félix do Tocantins,1720150,TO,80
São Miguel do Tocantins,São Miguel do Tocantins,1720200,TO,80
São Salvador do Tocantins,São Salvador do Tocantins,1720259,TO,80
São Sebastião do Tocantins,São Sebastião do Tocantins,1720309,TO,80
São Valério,São Valério da Natividade,1720499,TO,NA
Silvanópolis,Silvanópolis,1720655,TO,80
Sítio Novo do Tocantins,Sítio Novo do Tocantins,1720804,TO,80
Sucupira,Sucupira,1720853,TO,80
Taguatinga,Taguatinga,1720903,TO,80
Taipas do Tocantins,Taipas do Tocantins,1720937,TO,80
Talismã,Talismã,1720978,TO,80
Palmas,Palmas,1721000,TO,80
Tocantínia,Tocantínia,1721109,TO,80
Tocantinópolis,Tocantinópolis,1721208,TO,80
Tupirama,Tupirama,1721257,TO,80
Tupiratins,Tupiratins,1721307,TO,80
Wanderlândia,Wanderlândia,1722081,TO,80
Xambioá,Xambioá,1722107,TO,80
Açailândia,Açailândia,2100055,MA,75
Afonso Cunha,Afonso Cunha,2100105,MA,70
Água Doce do Maranhão,Água Doce do Maranhão,2100154,MA,70
Alcântara,Alcântara,2100204,MA,55
Aldeias Altas,Aldeias Altas,2100303,MA,55
Altamira do Maranhão,Altamira do Maranhão,2100402,MA,60
Alto Alegre do Maranhão,Alto Alegre do Maranhão,2100436,MA,70
Alto Alegre do Pindaré,Alto Alegre do Pindaré,2100477,MA,60
Alto Parnaíba,Alto Parnaíba,2100501,MA,75
Amapá do Maranhão,Amapá do Maranhão,2100550,MA,75
Amarante do Maranhão,Amarante do Maranhão,2100600,MA,75
Anajatuba,Anajatuba,2100709,MA,55
Anapurus,Anapurus,2100808,MA,70
Apicum-Açu,Apicum-Açu,2100832,MA,55
Araguanã,Araguanã,2100873,MA,60
Araioses,Araioses,2100907,MA,70
Arame,Arame,2100956,MA,70
Arari,Arari,2101004,MA,55
Axixá,Axixá,2101103,MA,70
Bacabal,Bacabal,2101202,MA,60
Bacabeira,Bacabeira,2101251,MA,30
Bacuri,Bacuri,2101301,MA,55
Bacurituba,Bacurituba,2101350,MA,55
Balsas,Balsas,2101400,MA,75
Barão de Grajaú,Barão de Grajaú,2101509,MA,70
Barra do Corda,Barra do Corda,2101608,MA,70
Barreirinhas,Barreirinhas,2101707,MA,70
Belágua,Belágua,2101731,MA,70
Bela Vista do Maranhão,Bela Vista do Maranhão,2101772,MA,60
Benedito Leite,Benedito Leite,2101806,MA,75
Bequimão,Bequimão,2101905,MA,55
Bernardo do Mearim,Bernardo do Mearim,2101939,MA,60
Boa Vista do Gurupi,Boa Vista do Gurupi,2101970,MA,75
Bom Jardim,Bom Jardim,2102002,MA,60
Bom Jesus das Selvas,Bom Jesus das Selvas,2102036,MA,60
Bom Lugar,Bom Lugar,2102077,MA,60
Brejo,Brejo,2102101,MA,70
Brejo de Areia,Brejo de Areia,2102150,MA,60
Buriti,Buriti,2102200,MA,70
Buriti Bravo,Buriti Bravo,2102309,MA,70
Buriticupu,Buriticupu,2102325,MA,60
Buritirana,Buritirana,2102358,MA,75
Cachoeira Grande,Cachoeira Grande,2102374,MA,70
Cajapió,Cajapió,2102408,MA,55
Cajari,Cajari,2102507,MA,55
Campestre do Maranhão,Campestre do Maranhão,2102556,MA,75
Cândido Mendes,Cândido Mendes,2102606,MA,75
Cantanhede,Cantanhede,2102705,MA,55
Capinzal do Norte,Capinzal do Norte,2102754,MA,60
Carolina,Carolina,2102804,MA,75
Carutapera,Carutapera,2102903,MA,75
Caxias,Caxias,2103000,MA,55
Cedral,Cedral,2103109,MA,55
Central do Maranhão,Central do Maranhão,2103125,MA,55
Centro do Guilherme,Centro do Guilherme,2103158,MA,75
Centro Novo do Maranhão,Centro Novo do Maranhão,2103174,MA,75
Chapadinha,Chapadinha,2103208,MA,70
Cidelândia,Cidelândia,2103257,MA,75
Codó,Codó,2103307,MA,60
Coelho Neto,Coelho Neto,2103406,MA,70
Colinas,Colinas,2103505,MA,70
Conceição do Lago-Açu,Conceição do Lago-Açu,2103554,MA,60
Coroatá,Coroatá,2103604,MA,70
Cururupu,Cururupu,2103703,MA,55
Davinópolis,Davinópolis,2103752,MA,75
Dom Pedro,Dom Pedro,2103802,MA,70
Duque Bacelar,Duque Bacelar,2103901,MA,70
Esperantinópolis,Esperantinópolis,2104008,MA,50
Estreito,Estreito,2104057,MA,75
Feira Nova do Maranhão,Feira Nova do Maranhão,2104073,MA,75
Fernando Falcão,Fernando Falcão,2104081,MA,70
Formosa da Serra Negra,Formosa da Serra Negra,2104099,MA,70
Fortaleza dos Nogueiras,Fortaleza dos Nogueiras,2104107,MA,75
Fortuna,Fortuna,2104206,MA,70
Godofredo Viana,Godofredo Viana,2104305,MA,75
Gonçalves Dias,Gonçalves Dias,2104404,MA,70
Governador Archer,Governador Archer,2104503,MA,70
Governador Edison Lobão,Governador Edison Lobão,2104552,MA,75
Governador Eugênio Barros,Governador Eugênio Barros,2104602,MA,70
Governador Luiz Rocha,Governador Luiz Rocha,2104628,MA,70
Governador Newton Bello,Governador Newton Bello,2104651,MA,60
Governador Nunes Freire,Governador Nunes Freire,2104677,MA,75
Graça Aranha,Graça Aranha,2104701,MA,70
Grajaú,Grajaú,2104800,MA,70
Guimarães,Guimarães,2104909,MA,55
Humberto de Campos,Humberto de Campos,2105005,MA,70
Icatu,Icatu,2105104,MA,65
Igarapé do Meio,Igarapé do Meio,2105153,MA,60
Igarapé Grande,Igarapé Grande,2105203,MA,60
Imperatriz,Imperatriz,2105302,MA,75
Itaipava do Grajaú,Itaipava do Grajaú,2105351,MA,70
Itapecuru Mirim,Itapecuru Mirim,2105401,MA,55
Itinga do Maranhão,Itinga do Maranhão,2105427,MA,75
Jatobá,Jatobá,2105450,MA,70
Jenipapo dos Vieiras,Jenipapo dos Vieiras,2105476,MA,70
João Lisboa,João Lisboa,2105500,MA,75
Joselândia,Joselândia,2105609,MA,50
Junco do Maranhão,Junco do Maranhão,2105658,MA,75
Lago da Pedra,Lago da Pedra,2105708,MA,60
Lago do Junco,Lago do Junco,2105807,MA,60
Lago Verde,Lago Verde,2105906,MA,60
Lagoa do Mato,Lagoa do Mato,2105922,MA,70
